document_id,split,entity_internal_id,identifier,texto_entidade,tipo_entidade,novel_entity,offset,length,passage_offset,len_texto_ent,texto_entidade_norm
10491763,train,0,3175,Hepatocyte nuclear factor-6,GeneOrGeneProduct,,0,27,0,27,hepatocyte nuclear factor-6
10491763,train,1,D003924,type II diabetes,DiseaseOrPhenotypicFeature,,74,16,0,16,type ii diabetes
10491763,train,2,3630,insulin,GeneOrGeneProduct,,140,7,0,7,insulin
10491763,train,3,3175,hepatocyte nuclear factor (HNF)-6,GeneOrGeneProduct,,184,33,159,33,hepatocyte nuclear factor (hnf)-6
10491763,train,4,D003924,maturity-onset diabetes,DiseaseOrPhenotypicFeature,,292,23,159,23,maturity-onset diabetes
10491763,train,5,3175,HNF-6,GeneOrGeneProduct,,389,5,159,5,hnf-6
10491763,train,6,D003924,Type II (non-insulin-dependent) diabetes mellitus,DiseaseOrPhenotypicFeature,,430,49,159,49,type ii (non-insulin-dependent) diabetes mellitus
10491763,train,7,3630,insulin,GeneOrGeneProduct,,497,7,159,7,insulin
10491763,train,8,D005947,glucose,ChemicalEntity,,518,7,159,7,glucose
10491763,train,9,3175,HNF-6,GeneOrGeneProduct,,620,5,159,5,hnf-6
10491763,train,10,"3172,3651,6927",MODY,GeneOrGeneProduct,,676,4,159,4,mody
10491763,train,11,3172,MODY1,GeneOrGeneProduct,,715,5,159,5,mody1
10491763,train,12,6927,MODY3,GeneOrGeneProduct,,722,5,159,5,mody3
10491763,train,13,3651,MODY4,GeneOrGeneProduct,,732,5,159,5,mody4
10491763,train,14,9606,patients,OrganismTaxon,,754,8,159,8,patients
10491763,train,15,D003924,Type II diabetes,DiseaseOrPhenotypicFeature,,779,16,159,16,type ii diabetes
10491763,train,16,rs74805019,Pro75 Ala,SequenceVariant,,1070,9,159,9,pro75 ala
10491763,train,17,rs74805019,Pro75Ala,SequenceVariant,,1143,8,159,8,pro75ala
10491763,train,18,9606,patients,OrganismTaxon,,1216,8,159,8,patients
10491763,train,19,D003924,Type II diabetes mellitus,DiseaseOrPhenotypicFeature,,1230,25,159,25,type ii diabetes mellitus
10491763,train,20,D005947,glucose,ChemicalEntity,,1304,7,159,7,glucose
10491763,train,21,D005947,glucose,ChemicalEntity,,1379,7,159,7,glucose
10491763,train,22,D005947,glucose,ChemicalEntity,,1413,7,159,7,glucose
10491763,train,23,D003924,Type II diabetic,DiseaseOrPhenotypicFeature,,1443,16,159,16,type ii diabetic
10491763,train,24,9606,patients,OrganismTaxon,,1460,8,159,8,patients
10491763,train,25,D005947,glucose,ChemicalEntity,,1573,7,159,7,glucose
10491763,train,26,3630,insulin,GeneOrGeneProduct,,1595,7,159,7,insulin
10491763,train,27,3630,C-peptide,GeneOrGeneProduct,,1606,9,159,9,c-peptide
10491763,train,28,3175,HNF-6,GeneOrGeneProduct,,1667,5,159,5,hnf-6
10491763,train,29,D003924,Type II diabetes,DiseaseOrPhenotypicFeature,,1702,16,159,16,type ii diabetes
10491763,train,30,3630,insulin,GeneOrGeneProduct,,1738,7,159,7,insulin
10491763,train,31,D005947,glucose,ChemicalEntity,,1759,7,159,7,glucose
10661407,train,0,50489,Langerin,GeneOrGeneProduct,,0,8,0,8,langerin
10661407,train,1,50489,C-type lectin,GeneOrGeneProduct,,18,13,0,13,c-type lectin
10661407,train,2,50489,type II Ca2+-dependent lectin,GeneOrGeneProduct,,156,29,135,29,type ii ca2+-dependent lectin
10661407,train,3,D008358,mannose,ChemicalEntity,,197,7,135,7,mannose
10661407,train,4,50489,Langerin,GeneOrGeneProduct,,284,8,135,8,langerin
10661407,train,5,50489,Langerin,GeneOrGeneProduct,,447,8,135,8,langerin
10661407,train,6,50489,Langerin,GeneOrGeneProduct,,514,8,135,8,langerin
10661407,train,7,50489,Langerin,GeneOrGeneProduct,,590,8,135,8,langerin
10661407,train,8,50489,Langerin,GeneOrGeneProduct,,699,8,135,8,langerin
10661407,train,9,50489,Langerin,GeneOrGeneProduct,,890,8,135,8,langerin
10788334,train,0,672,BRCA1,GeneOrGeneProduct,,25,5,0,5,brca1
10788334,train,1,D061325,breast-ovarian cancer,DiseaseOrPhenotypicFeature,,60,21,0,21,breast-ovarian cancer
10788334,train,2,672,BRCA1,GeneOrGeneProduct,,147,5,83,5,brca1
10788334,train,3,675,BRCA2,GeneOrGeneProduct,,157,5,83,5,brca2
10788334,train,4,D009369,cancer,DiseaseOrPhenotypicFeature,,260,6,83,6,cancer
10788334,train,5,"D001943,D010051",breast or ovarian cancer,DiseaseOrPhenotypicFeature,,321,24,83,24,breast or ovarian cancer
10788334,train,6,D009369,cancer,DiseaseOrPhenotypicFeature,,358,6,83,6,cancer
10788334,train,7,"D001943,D010051",breast and ovarian cancers,DiseaseOrPhenotypicFeature,,474,26,83,26,breast and ovarian cancers
10788334,train,8,D010051,ovarian cancers,DiseaseOrPhenotypicFeature,,517,15,83,15,ovarian cancers
10788334,train,9,D001943,breast cancers,DiseaseOrPhenotypicFeature,,559,14,83,14,breast cancers
10788334,train,10,9606,woman,OrganismTaxon,,667,5,83,5,woman
10788334,train,11,672,BRCA1,GeneOrGeneProduct,,719,5,83,5,brca1
10788334,train,12,675,BRCA2,GeneOrGeneProduct,,729,5,83,5,brca2
10788334,train,13,672,BRCA1,GeneOrGeneProduct,,970,5,83,5,brca1
10788334,train,14,OMIM:604370,BRCA1 abnormalities,DiseaseOrPhenotypicFeature,,982,19,83,19,brca1 abnormalities
10788334,train,15,D010051,ovarian cancer,DiseaseOrPhenotypicFeature,,1044,14,83,14,ovarian cancer
10788334,train,16,"D001943,D010051",breast and ovarian cancer,DiseaseOrPhenotypicFeature,,1097,25,83,25,breast and ovarian cancer
10788334,train,17,D001943,breast cancer,DiseaseOrPhenotypicFeature,,1155,13,83,13,breast cancer
10788334,train,18,675,BRCA2,GeneOrGeneProduct,,1200,5,83,5,brca2
10788334,train,19,D061325,breast-ovarian cancer syndrome,DiseaseOrPhenotypicFeature,,1223,30,83,30,breast-ovarian cancer syndrome
10788334,train,20,OMIM:604370,BRCA1 abnormalities,DiseaseOrPhenotypicFeature,,1448,19,83,19,brca1 abnormalities
10788334,train,21,c|INS|5382|C,5382insC,SequenceVariant,,1470,8,83,8,5382insc
10788334,train,22,rs28897672,C61G,SequenceVariant,,1480,4,83,4,c61g
10788334,train,23,c|DEL|4153|A,4153delA,SequenceVariant,,1490,8,83,8,4153dela
11009181,train,0,D001058,Apomorphine,ChemicalEntity,,0,11,0,11,apomorphine
11009181,train,1,D010300,Parkinson's disease,DiseaseOrPhenotypicFeature,,42,19,0,19,parkinson's disease
11009181,train,2,D001058,Apomorphine,ChemicalEntity,,63,11,63,11,apomorphine
11009181,train,3,D004298,dopaminergic drug,ChemicalEntity,,89,17,63,17,dopaminergic drug
11009181,train,4,D010300,Parkinson's disease,DiseaseOrPhenotypicFeature,,138,19,63,19,parkinson's disease
11009181,train,5,D010300,Parkinson's disease,DiseaseOrPhenotypicFeature,,273,19,63,19,parkinson's disease
11009181,train,6,D001058,apomorphine,ChemicalEntity,,327,11,63,11,apomorphine
11009181,train,7,D001058,apomorphine,ChemicalEntity,,493,11,63,11,apomorphine
11009181,train,8,D007980,levodopa,ChemicalEntity,,590,8,63,8,levodopa
11009181,train,9,D001058,apomorphine,ChemicalEntity,,608,11,63,11,apomorphine
11009181,train,10,9606,patients,OrganismTaxon,,678,8,63,8,patients
11009181,train,11,D001058,apomorphine,ChemicalEntity,,745,11,63,11,apomorphine
11009181,train,12,9606,patients,OrganismTaxon,,827,8,63,8,patients
11009181,train,13,D018491,dopamine agonists,ChemicalEntity,,930,17,63,17,dopamine agonists
11009181,train,14,D065098,COMT inhibitors,ChemicalEntity,,951,15,63,15,comt inhibitors
11009181,train,15,D001058,apomorphine,ChemicalEntity,,1055,11,63,11,apomorphine
11009181,train,16,D001058,apomorphine,ChemicalEntity,,1174,11,63,11,apomorphine
11009181,train,17,D007980,levodopa,ChemicalEntity,,1248,8,63,8,levodopa
11009181,train,18,D004409,dyskinesias,DiseaseOrPhenotypicFeature,,1265,11,63,11,dyskinesias
11009181,train,19,D001058,apomorphine,ChemicalEntity,,1316,11,63,11,apomorphine
11009181,train,20,D001523,psychiatric complications,DiseaseOrPhenotypicFeature,,1407,25,63,25,psychiatric complications
11009181,train,21,D001058,apomorphine,ChemicalEntity,,1505,11,63,11,apomorphine
11009181,train,22,D010300,Parkinson's disease,DiseaseOrPhenotypicFeature,,1542,19,63,19,parkinson's disease
11054569,train,0,84084,Rab6c,GeneOrGeneProduct,,0,5,0,5,rab6c
11054569,train,1,"5870,84084",rab,GeneOrGeneProduct,,27,3,0,3,rab
11054569,train,2, CVCL_1452,MCF7/AdrR,CellLine,,78,9,0,9,mcf7/adrr
11054569,train,3,5870,Rab6,GeneOrGeneProduct,,101,4,95,4,rab6
